frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,ts_epoch,ts_rel
0,0.000244,0.000336,0.000244,0.000244,0.000244,0,0,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000244,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000534,0.000336,0.000336,0.000198,0.000214,0.000137,0.00029,1,0.692307,1,0.5,1.69223,1.159988,0,0,1,1,0,0,0,0.956543,1774288109.5672095,2.139315366744995
0.000244,0,0.000244,0.000336,0,0.000244,0.000244,0,0.000336,0.000244,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.000153,0.000214,0.00032,0.769226,0.875,1,0.412094,1.644165,1.111099,0,1,1,0,0,0,0,0.956543,1774288109.648338,2.2204439640045166
0,0,0.000244,0,0.000488,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.00029,0.000137,0.000275,0.000305,0.599991,1,1,0.099991,1.59993,1.269226,0,1,1,1,0,0,0,0.956543,1774288109.715635,2.28774094581604
0.000336,0.000534,0.000244,0.000244,0.000244,0.000336,0,0.000336,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000229,0.00032,0.000244,0.000305,1,1,1,0.5,1.999908,1.653839,0,0,1,1,0,0,0,0.956543,1774288109.7839856,2.3560914993286133
0.000244,0,0.000336,0.000336,0.000244,0.000244,0.000336,0,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000244,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000275,0.000229,0.000229,0.00029,0.9375,0.833328,1,0.496338,1.770752,1.439987,0,0,1,1,0,0,0,0.956543,1774288109.883497,2.4556028842926025
0.000244,0,0.000534,0.000488,0,0.000534,0,0.000336,0.000244,0.000336,0.000244,0.000336,0.000336,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.00032,0.000244,0.00029,0.000305,1,1,1,0.5,1.999908,1.57692,0,0,1,1,0,0,0,0.956543,1774288109.990386,2.5624918937683105
0,0.000244,0.000336,0.000244,0.000534,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000244,0.000244,0.000336,0.000244,0.000244,0.000244,0.000336,0.000336,0.000336,0.000336,0.000336,0.000244,0.000336,0.000336,0.000336,0.000259,0.000259,0.000259,0.000259,0.944443,1,1,0.497086,1.944351,1.739121,0,0,1,1,0,0,0,0.956543,1774288110.1042588,2.6763646602630615
0.009201,0.003616,0.011688,0.069626,0.097839,0.342865,0.054825,0.033493,0.018906,0.047058,0.104706,0.026962,0.007751,0.012207,0.009644,0.009613,0.006332,0.003311,0.004883,0.002594,0.001999,0.00177,0.001419,0.001755,0.001236,0.001221,0.00148,0.001419,0.000732,0.000534,0.000534,0.000488,0.184875,0.038391,0.099426,0.004318,1,1,1,0,1.999908,31.27335,1,0,1,1,0,0,0,0.956543,1774288110.1928802,2.764986038208008
0.031769,0.015228,0.0401,0.024078,0.068436,0.500381,0.171616,0.058792,0.067886,0.04248,0.055435,0.02713,0.012802,0.010986,0.007904,0.011307,0.004898,0.007889,0.006439,0.003601,0.002304,0.001236,0.001633,0.004944,0.001968,0.001007,0.001419,0.001083,0.00087,0.000732,0.000534,0.000534,0.165314,0.035919,0.168228,0.005203,0.971115,1,0.863281,0.001556,2.283142,38.57349,1,0,1,1,0,0,0,0.956543,1774288110.2580736,2.830179452896118
0.019531,0.005096,0.072083,0.025925,0.056229,0.442383,0.152618,0.071396,0.096481,0.05455,0.046173,0.023483,0.01001,0.011673,0.010544,0.008591,0.005875,0.003448,0.003662,0.002197,0.001221,0.000763,0.001709,0.006042,0.001724,0.001022,0.003052,0.001236,0.000534,0.00087,0.000763,0.000534,0.15332,0.035767,0.163483,0.004395,0.90712,0.910507,0.789032,0,2.303452,44.43536,1,0,1,1,0,0,0,0.956543,1774288110.325255,2.8973608016967773
